Команда 1,Дата,Турнир,Команда 2,Место проведения,Счет,Результат,Ссылка,Время
УНИКС,16.10.2023,Единая лига ВТБ,Минск,В гостях,49 : 97,win,https://www.sports.ru/basketball/match/1704953/,18:30
УНИКС,19.10.2023,Единая лига ВТБ,Уралмаш,Дома,94 : 67,win,https://www.sports.ru/basketball/match/1704948/,19:00
УНИКС,22.10.2023,Единая лига ВТБ,Самара,В гостях,104 : 93,lose,https://www.sports.ru/basketball/match/1704939/,17:00
УНИКС,29.10.2023,Единая лига ВТБ,Автодор,В гостях,72 : 82,win,https://www.sports.ru/basketball/match/1704918/,16:00
УНИКС,02.11.2023,Единая лига ВТБ,Астана,Дома,96 : 65,win,https://www.sports.ru/basketball/match/1704909/,19:00
УНИКС,05.11.2023,Единая лига ВТБ,Зенит,В гостях,83 : 93,win,https://www.sports.ru/basketball/match/1704896/,16:00
УНИКС,09.11.2023,Единая лига ВТБ,Руна,Дома,83 : 86,lose,https://www.sports.ru/basketball/match/1704883/,19:00
УНИКС,12.11.2023,Единая лига ВТБ,Парма,В гостях,77 : 87,win,https://www.sports.ru/basketball/match/1704876/,14:30
УНИКС,18.11.2023,Единая лига ВТБ,Енисей,Дома,91 : 80,win,https://www.sports.ru/basketball/match/1704852/,18:00
УНИКС,23.11.2023,Единая лига ВТБ,ЦСКА,Дома,66 : 79,lose,https://www.sports.ru/basketball/match/1704832/,19:30
УНИКС,26.11.2023,Единая лига ВТБ,МБА,Дома,87 : 78,win,https://www.sports.ru/basketball/match/1704823/,18:00
УНИКС,02.12.2023,Единая лига ВТБ,Локомотив-Кубань,В гостях,82 : 75,lose,https://www.sports.ru/basketball/match/1704806/,14:00
УНИКС,06.12.2023,Единая лига ВТБ,Пари Нижний Новгород,Дома,91 : 61,win,https://www.sports.ru/basketball/match/1704790/,19:00
УНИКС,11.12.2023,Единая лига ВТБ,Астана,В гостях,75 : 97,win,https://www.sports.ru/basketball/match/astana-vs-unics/,17:00
УНИКС,18.12.2023,Единая лига ВТБ,Уралмаш,В гостях,80 : 89,win,https://www.sports.ru/basketball/match/unics-vs-uralmash/,17:15
УНИКС,21.12.2023,Единая лига ВТБ,Минск,Дома,101 : 81,win,https://www.sports.ru/basketball/match/cmoki-minsk-vs-unics/,19:00
УНИКС,24.12.2023,Единая лига ВТБ,Самара,Дома,81 : 61,win,https://www.sports.ru/basketball/match/1704730/,18:00
УНИКС,30.12.2023,Единая лига ВТБ,Пари Нижний Новгород,В гостях,61 : 70,win,https://www.sports.ru/basketball/match/bk-nizhni-novgorod-vs-unics/,14:30
УНИКС,05.01.2024,Единая лига ВТБ,Руна,В гостях,78 : 84,win,https://www.sports.ru/basketball/match/runa-vs-unics/,17:00
УНИКС,08.01.2024,Единая лига ВТБ,Енисей,В гостях,94 : 80,lose,https://www.sports.ru/basketball/match/1704702/,13:00
УНИКС,13.01.2024,Единая лига ВТБ,Парма,Дома,70 : 72,lose,https://www.sports.ru/basketball/match/1704686/,18:00
